Predictor variable,Categorical,Sample average
bio1,false,120.38920454545455
bio10,false,186.42532467532467
bio11,false,61.71022727272727
bio12,false,1173.1643668831168
bio13,false,217.7122564935065
bio14,false,4.265422077922078
bio15,false,81.40219155844156
bio16,false,601.6806006493506
bio17,false,29.129464285714285
bio18,false,38.74147727272727
bio19,false,581.9082792207793
bio2,false,139.95454545454547
bio3,false,50.04301948051948
bio4,false,4989.351461038961
bio5,false,284.1047077922078
bio6,false,4.578327922077922
bio7,false,279.52637987012986
bio8,false,65.5028409090909
bio9,false,184.30560064935065
